iter	Passed	Remaining
0	1	148
1	3	147
2	4	147
3	5	139
4	7	139
5	8	136
6	9	132
7	11	129
8	12	127
9	13	125
10	15	124
11	17	124
12	18	124
13	20	122
14	21	121
15	22	119
16	24	117
17	25	116
18	26	114
19	28	112
20	29	110
21	31	110
22	32	109
23	33	107
24	35	106
25	36	104
26	38	102
27	39	101
28	40	99
29	42	98
30	43	97
31	45	95
32	46	94
33	47	93
34	49	92
35	51	90
36	52	89
37	54	88
38	55	86
39	56	85
40	58	83
41	58	81
42	60	80
43	62	79
44	63	77
45	64	76
46	66	74
47	67	73
48	69	71
49	70	70
50	71	68
51	73	67
52	74	66
53	76	65
54	77	63
55	78	61
56	80	60
57	81	58
58	82	57
59	84	56
60	85	54
61	87	53
62	88	52
63	90	50
64	91	49
65	93	47
66	94	46
67	95	45
68	96	43
69	98	42
70	99	40
71	102	39
72	104	38
73	105	37
74	107	35
75	109	34
76	111	33
77	112	31
78	114	30
79	115	28
80	117	27
81	118	26
82	120	24
83	122	23
84	123	21
85	125	20
86	126	18
87	127	17
88	129	16
89	131	14
90	133	13
91	134	11
92	136	10
93	138	8
94	140	7
95	142	5
96	144	4
97	146	2
98	148	1
99	149	0
