iter	Passed	Remaining
0	140	140755
1	146	73195
2	149	49517
3	150	37544
4	153	30463
5	155	25702
6	162	23071
7	164	20364
8	165	18241
9	167	16558
10	168	15148
11	173	14321
12	175	13335
13	177	12466
14	178	11702
15	179	11037
16	180	10438
17	181	9913
18	182	9438
19	183	9007
20	190	8889
21	191	8534
22	193	8208
23	194	7907
24	195	7625
25	196	7369
26	197	7127
27	198	6903
28	204	6839
29	205	6647
30	207	6474
31	208	6304
32	209	6142
33	210	5986
34	211	5837
35	212	5696
36	213	5562
37	220	5574
38	222	5471
39	223	5357
40	224	5249
41	225	5147
42	226	5045
43	227	4948
44	229	4861
45	231	4798
46	234	4753
47	235	4673
48	236	4596
49	238	4522
50	239	4454
51	240	4383
52	241	4316
53	242	4251
54	243	4187
55	246	4150
56	247	4091
57	248	4035
58	249	3979
59	250	3926
60	251	3876
61	252	3825
62	253	3776
63	255	3729
64	260	3750
65	261	3707
66	263	3664
67	264	3620
68	265	3577
69	266	3536
70	267	3496
71	268	3457
72	269	3422
73	270	3385
74	287	3543
75	290	3530
76	292	3508
77	294	3477
78	295	3445
79	296	3413
80	298	3381
81	299	3349
82	299	3311
83	300	3280
84	301	3249
85	303	3229
86	307	3223
87	308	3200
88	310	3174
89	311	3147
90	312	3120
91	313	3094
92	314	3068
93	318	3069
94	321	3060
95	322	3037
96	323	3012
97	324	2987
98	325	2963
99	326	2940
100	327	2916
101	328	2894
102	329	2871
103	331	2855
104	335	2858
105	336	2839
106	337	2819
107	339	2799
108	340	2781
109	341	2762
110	342	2743
111	343	2724
112	344	2704
113	345	2685
114	347	2674
115	349	2667
116	351	2649
117	352	2633
118	353	2617
119	354	2601
120	356	2586
121	356	2568
122	357	2551
123	359	2536
124	360	2526
125	362	2514
126	364	2502
127	366	2499
128	371	2507
129	372	2493
130	373	2478
131	375	2470
132	377	2458
133	379	2454
134	383	2458
135	384	2445
136	386	2432
137	387	2420
138	388	2407
139	389	2394
140	391	2386
141	398	2405
142	399	2393
143	400	2381
144	401	2369
145	402	2356
146	404	2345
147	406	2342
148	409	2339
149	411	2331
150	413	2322
151	414	2311
152	415	2300
153	416	2289
154	417	2278
155	419	2267
156	421	2262
157	425	2268
158	427	2259
159	428	2249
160	429	2236
161	430	2226
162	431	2216
163	432	2207
164	434	2197
165	442	2225
166	445	2220
167	446	2212
168	448	2203
169	449	2194
170	451	2189
171	456	2196
172	457	2187
173	458	2178
174	460	2169
175	461	2160
176	462	2151
177	464	2143
178	465	2134
179	467	2131
180	470	2129
181	471	2121
182	473	2112
183	474	2104
184	475	2095
185	477	2088
186	478	2079
187	479	2072
188	483	2075
189	486	2075
190	488	2068
191	489	2061
192	491	2054
193	492	2046
194	493	2038
195	502	2063
196	504	2056
197	506	2050
198	508	2045
199	509	2039
200	512	2038
201	514	2033
202	515	2025
203	517	2018
204	518	2011
205	520	2004
206	521	1996
207	524	1997
208	526	1991
209	527	1984
210	528	1978
211	530	1973
212	532	1967
213	533	1960
214	534	1952
215	535	1945
216	540	1950
217	543	1948
218	544	1941
219	545	1934
220	546	1926
221	547	1919
222	548	1911
223	549	1904
224	550	1897
225	556	1905
226	558	1902
227	560	1896
228	561	1891
229	563	1885
230	564	1879
231	565	1873
232	569	1875
233	571	1872
234	573	1865
235	574	1859
236	575	1852
237	576	1845
238	577	1839
239	579	1833
240	580	1827
241	582	1825
242	585	1825
243	587	1819
244	588	1813
245	589	1807
246	590	1801
247	592	1795
248	593	1789
249	594	1784
250	598	1785
251	602	1789
252	604	1784
253	605	1778
254	606	1772
255	608	1767
256	609	1761
257	610	1755
258	612	1752
259	616	1755
260	618	1750
261	619	1744
262	620	1738
263	621	1733
264	622	1727
265	624	1722
266	625	1716
267	634	1733
268	635	1728
269	637	1722
270	638	1717
271	639	1711
272	640	1706
273	642	1702
274	644	1698
275	646	1696
276	648	1691
277	649	1686
278	650	1681
279	651	1676
280	653	1670
281	654	1665
282	655	1660
283	656	1654
284	657	1650
285	659	1646
286	662	1645
287	663	1640
288	664	1635
289	666	1630
290	667	1625
291	668	1620
292	669	1615
293	670	1610
294	672	1607
295	674	1604
296	676	1602
297	679	1600
298	680	1595
299	681	1590
300	682	1585
301	684	1581
302	685	1576
303	687	1574
304	690	1572
305	691	1568
306	693	1565
307	694	1560
308	695	1556
309	697	1552
310	698	1548
311	700	1543
312	703	1543
313	706	1542
314	709	1541
315	710	1538
316	712	1534
317	713	1531
318	715	1526
319	717	1524
320	722	1527
321	723	1523
322	724	1518
323	725	1514
324	727	1510
325	728	1506
326	729	1502
327	736	1508
328	738	1505
329	739	1501
330	740	1497
331	741	1492
332	742	1487
333	743	1483
334	744	1478
335	745	1473
336	747	1471
337	749	1468
338	753	1469
339	754	1465
340	756	1461
341	757	1457
342	758	1452
343	759	1448
344	760	1444
345	770	1455
346	771	1452
347	772	1448
348	774	1444
349	775	1439
350	776	1436
351	786	1448
352	788	1444
353	789	1440
354	790	1436
355	791	1431
356	792	1427
357	795	1425
358	796	1422
359	798	1418
360	799	1415
361	805	1419
362	809	1419
363	810	1416
364	812	1412
365	813	1409
366	814	1405
367	817	1403
368	822	1405
369	824	1403
370	825	1399
371	826	1395
372	828	1391
373	829	1387
374	830	1383
375	832	1381
376	836	1381
377	837	1378
378	839	1375
379	840	1371
380	841	1367
381	843	1363
382	844	1359
383	845	1356
384	847	1353
385	849	1351
386	853	1351
387	854	1347
388	855	1344
389	856	1340
390	857	1336
391	859	1332
392	860	1328
393	861	1324
394	862	1321
395	867	1323
396	869	1320
397	870	1316
398	871	1313
399	873	1309
400	874	1306
401	888	1321
402	889	1318
403	891	1315
404	892	1311
405	895	1309
406	897	1307
407	898	1303
408	899	1299
409	900	1296
410	902	1292
411	903	1289
412	904	1285
413	906	1282
414	907	1279
415	913	1281
416	914	1278
417	915	1274
418	916	1271
419	917	1267
420	919	1263
421	921	1262
422	924	1261
423	929	1263
424	931	1260
425	933	1257
426	934	1254
427	941	1258
428	943	1255
429	944	1252
430	946	1249
431	947	1245
432	948	1242
433	949	1238
434	956	1241
435	958	1239
436	959	1236
437	960	1232
438	961	1229
439	963	1225
440	964	1222
441	965	1218
442	966	1214
443	971	1217
444	973	1214
445	974	1210
446	976	1207
447	977	1204
448	978	1200
449	979	1197
450	980	1193
451	989	1199
452	993	1199
453	994	1196
454	995	1192
455	997	1189
456	1000	1188
457	1004	1188
458	1005	1185
459	1007	1182
460	1008	1178
461	1009	1175
462	1010	1172
463	1012	1169
464	1014	1167
465	1018	1167
466	1020	1164
467	1021	1161
468	1022	1157
469	1023	1154
470	1025	1151
471	1026	1147
472	1027	1144
473	1029	1142
474	1034	1143
475	1036	1140
476	1037	1137
477	1039	1134
478	1041	1132
479	1048	1135
480	1050	1133
481	1051	1130
482	1053	1127
483	1054	1124
484	1056	1121
485	1057	1118
486	1060	1116
487	1063	1116
488	1065	1113
489	1067	1111
490	1069	1108
491	1070	1105
492	1071	1102
493	1073	1099
494	1076	1097
495	1081	1098
496	1084	1097
497	1085	1094
498	1086	1091
499	1087	1087
500	1089	1085
501	1097	1088
502	1098	1085
503	1100	1082
504	1101	1079
505	1102	1076
506	1103	1073
507	1105	1070
508	1108	1069
509	1109	1065
510	1110	1062
511	1111	1059
512	1112	1056
513	1113	1053
514	1114	1049
515	1115	1046
516	1117	1043
517	1118	1040
518	1120	1038
519	1125	1038
520	1126	1035
521	1127	1032
522	1128	1029
523	1129	1026
524	1130	1023
525	1131	1019
526	1133	1016
527	1134	1013
528	1138	1013
529	1139	1010
530	1140	1007
531	1142	1004
532	1143	1001
533	1144	998
534	1145	995
535	1146	992
536	1147	989
537	1148	986
538	1153	986
539	1154	983
540	1156	980
541	1157	977
542	1158	974
543	1159	972
544	1160	969
545	1161	966
546	1163	963
547	1165	961
548	1168	959
549	1169	956
550	1170	953
551	1171	951
552	1173	948
553	1174	945
554	1175	942
555	1176	939
556	1177	936
557	1179	934
558	1183	933
559	1185	931
560	1186	928
561	1188	925
562	1189	923
563	1190	920
564	1191	917
565	1192	914
566	1198	915
567	1200	912
568	1201	909
569	1202	907
570	1203	904
571	1204	901
572	1205	898
573	1206	895
574	1207	892
575	1208	889
576	1216	892
577	1218	889
578	1219	886
579	1220	883
580	1221	880
581	1222	878
582	1223	875
583	1228	875
584	1230	872
585	1231	869
586	1232	866
587	1233	864
588	1234	861
589	1235	858
590	1236	855
591	1237	852
592	1238	849
593	1239	847
594	1246	848
595	1247	845
596	1248	842
597	1249	839
598	1250	837
599	1251	834
600	1252	831
601	1253	828
602	1254	825
603	1261	827
604	1263	824
605	1264	821
606	1265	819
607	1266	816
608	1267	813
609	1268	810
610	1269	808
611	1270	805
612	1276	805
613	1277	803
614	1278	800
615	1280	797
616	1281	795
617	1282	792
618	1283	789
619	1284	787
620	1285	784
621	1286	782
622	1289	780
623	1291	778
624	1292	775
625	1293	772
626	1294	770
627	1295	767
628	1296	764
629	1297	762
630	1298	759
631	1299	756
632	1302	755
633	1308	755
634	1309	752
635	1310	749
636	1311	747
637	1312	744
638	1312	741
639	1314	739
640	1315	736
641	1319	735
642	1321	733
643	1323	731
644	1324	728
645	1325	726
646	1326	723
647	1327	720
648	1328	718
649	1329	715
650	1330	713
651	1332	711
652	1339	711
653	1340	709
654	1341	706
655	1342	703
656	1343	701
657	1344	699
658	1346	696
659	1347	694
660	1350	692
661	1351	690
662	1353	687
663	1354	685
664	1355	682
665	1356	680
666	1357	677
667	1358	675
668	1359	672
669	1360	670
670	1367	670
671	1369	668
672	1370	665
673	1371	663
674	1372	660
675	1373	658
676	1374	655
677	1375	653
678	1377	651
679	1382	650
680	1383	648
681	1385	645
682	1386	643
683	1387	640
684	1388	638
685	1389	636
686	1390	633
687	1391	631
688	1395	630
689	1397	627
690	1398	625
691	1400	623
692	1401	620
693	1402	618
694	1403	615
695	1404	613
696	1405	611
697	1407	609
698	1410	607
699	1411	605
700	1412	602
701	1414	600
702	1415	598
703	1416	595
704	1418	593
705	1419	591
706	1428	591
707	1429	589
708	1430	587
709	1431	584
710	1432	582
711	1434	580
712	1435	577
713	1443	578
714	1444	575
715	1445	573
716	1447	571
717	1448	568
718	1449	566
719	1450	564
720	1459	564
721	1460	562
722	1462	560
723	1463	557
724	1464	555
725	1466	553
726	1471	552
727	1473	550
728	1474	548
729	1475	545
730	1476	543
731	1478	541
732	1479	538
733	1480	536
734	1481	534
735	1489	534
736	1491	532
737	1492	529
738	1493	527
739	1494	525
740	1495	522
741	1496	520
742	1503	520
743	1505	517
744	1506	515
745	1507	513
746	1508	510
747	1509	508
748	1510	506
749	1511	503
750	1512	501
751	1518	500
752	1520	498
753	1521	496
754	1522	494
755	1523	491
756	1524	489
757	1525	487
758	1526	484
759	1527	482
760	1528	479
761	1530	477
762	1531	475
763	1533	473
764	1534	471
765	1535	469
766	1536	466
767	1537	464
768	1538	462
769	1539	459
770	1540	457
771	1541	455
772	1542	453
773	1549	452
774	1550	450
775	1551	447
776	1552	445
777	1553	443
778	1554	440
779	1555	438
780	1556	436
781	1557	434
782	1558	431
783	1560	429
784	1562	427
785	1563	425
786	1564	423
787	1565	421
788	1567	419
789	1568	416
790	1568	414
791	1569	412
792	1570	410
793	1571	407
794	1573	405
795	1581	405
796	1582	403
797	1583	400
798	1584	398
799	1585	396
800	1586	394
801	1587	391
802	1591	390
803	1593	388
804	1594	386
805	1596	384
806	1597	381
807	1597	379
808	1598	377
809	1599	375
810	1600	372
811	1601	370
812	1602	368
813	1606	366
814	1608	365
815	1609	362
816	1610	360
817	1611	358
818	1612	356
819	1613	354
820	1614	351
821	1615	349
822	1616	347
823	1617	345
824	1618	343
825	1621	341
826	1622	339
827	1623	337
828	1624	335
829	1625	332
830	1626	330
831	1627	328
832	1628	326
833	1629	324
834	1630	322
835	1631	319
836	1635	318
837	1637	316
838	1638	314
839	1639	312
840	1640	310
841	1641	307
842	1642	305
843	1642	303
844	1644	301
845	1644	299
846	1646	297
847	1649	295
848	1650	293
849	1651	291
850	1652	289
851	1653	287
852	1654	285
853	1656	283
854	1657	281
855	1658	278
856	1659	276
857	1666	275
858	1667	273
859	1668	271
860	1669	269
861	1670	267
862	1671	265
863	1672	263
864	1673	261
865	1674	259
866	1676	257
867	1681	255
868	1682	253
869	1683	251
870	1684	249
871	1685	247
872	1687	245
873	1688	243
874	1689	241
875	1690	239
876	1696	237
877	1698	235
878	1699	233
879	1700	231
880	1701	229
881	1702	227
882	1703	225
883	1704	223
884	1705	221
885	1707	219
886	1709	217
887	1711	215
888	1712	213
889	1713	211
890	1715	209
891	1716	207
892	1717	205
893	1718	203
894	1719	201
895	1720	199
896	1721	197
897	1723	195
898	1726	193
899	1727	191
900	1729	189
901	1730	187
902	1731	185
903	1732	183
904	1733	181
905	1735	180
906	1737	178
907	1740	176
908	1741	174
909	1742	172
910	1744	170
911	1745	168
912	1746	166
913	1747	164
914	1749	162
915	1753	160
916	1754	158
917	1755	156
918	1756	154
919	1758	152
920	1759	150
921	1760	148
922	1761	146
923	1762	144
924	1764	143
925	1766	141
926	1768	139
927	1769	137
928	1770	135
929	1771	133
930	1773	131
931	1774	129
932	1775	127
933	1776	125
934	1777	123
935	1779	121
936	1784	119
937	1785	118
938	1786	116
939	1788	114
940	1789	112
941	1790	110
942	1792	108
943	1793	106
944	1799	104
945	1800	102
946	1801	100
947	1803	98
948	1803	96
949	1805	95
950	1806	93
951	1807	91
952	1808	89
953	1810	87
